# Region type : patch pressure_outlet
# Faces       : 1888
# Area        : 4.314365e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
299           	(-7.951439e-03 4.552974e-02 1.000283e+00)
300           	(-7.828062e-03 4.504778e-02 1.000275e+00)
301           	(-7.609331e-03 4.474188e-02 1.000262e+00)
302           	(-7.435185e-03 4.438829e-02 1.000286e+00)
303           	(-7.360054e-03 4.408499e-02 1.000301e+00)
304           	(-7.323402e-03 4.363710e-02 1.000343e+00)
305           	(-7.210940e-03 4.339898e-02 1.000334e+00)
306           	(-7.014835e-03 4.304642e-02 1.000370e+00)
307           	(-6.881776e-03 4.268111e-02 1.000352e+00)
308           	(-6.704222e-03 4.238105e-02 1.000369e+00)
309           	(-6.661063e-03 4.192003e-02 1.000325e+00)
310           	(-6.493914e-03 4.168670e-02 1.000340e+00)
311           	(-6.388011e-03 4.130308e-02 1.000302e+00)
312           	(-6.206817e-03 4.093768e-02 1.000304e+00)
313           	(-6.146023e-03 4.058913e-02 1.000258e+00)
314           	(-5.991540e-03 4.020833e-02 1.000291e+00)
315           	(-5.925864e-03 3.977415e-02 1.000253e+00)
316           	(-5.676915e-03 3.942865e-02 1.000297e+00)
317           	(-5.622672e-03 3.924575e-02 1.000276e+00)
318           	(-5.515725e-03 3.896633e-02 1.000305e+00)
319           	(-5.440136e-03 3.861827e-02 1.000282e+00)
320           	(-5.267474e-03 3.845925e-02 1.000346e+00)
321           	(-5.188622e-03 3.807590e-02 1.000342e+00)
322           	(-5.025484e-03 3.776056e-02 1.000381e+00)
323           	(-4.793377e-03 3.751027e-02 1.000378e+00)
324           	(-4.638142e-03 3.724264e-02 1.000445e+00)
325           	(-4.443903e-03 3.694594e-02 1.000403e+00)
326           	(-4.263943e-03 3.675833e-02 1.000416e+00)
327           	(-3.978569e-03 3.644281e-02 1.000370e+00)
328           	(-3.799457e-03 3.617733e-02 1.000400e+00)
329           	(-3.603533e-03 3.603113e-02 1.000360e+00)
330           	(-3.269472e-03 3.575008e-02 1.000393e+00)
331           	(-3.123449e-03 3.551816e-02 1.000383e+00)
332           	(-2.888651e-03 3.538132e-02 1.000417e+00)
333           	(-2.573317e-03 3.516649e-02 1.000379e+00)
334           	(-2.397934e-03 3.498394e-02 1.000414e+00)
335           	(-2.228478e-03 3.482110e-02 1.000388e+00)
336           	(-2.012819e-03 3.466634e-02 1.000406e+00)
337           	(-1.836045e-03 3.453247e-02 1.000385e+00)
338           	(-1.625873e-03 3.440798e-02 1.000411e+00)
339           	(-1.495313e-03 3.440086e-02 1.000385e+00)
340           	(-1.384109e-03 3.431905e-02 1.000441e+00)
341           	(-1.358260e-03 3.413670e-02 1.000396e+00)
342           	(-1.121638e-03 3.412508e-02 1.000406e+00)
343           	(-9.052021e-04 3.405178e-02 1.000394e+00)
344           	(-8.037188e-04 3.399373e-02 1.000409e+00)
345           	(-6.997474e-04 3.388534e-02 1.000397e+00)
346           	(-5.562455e-04 3.377790e-02 1.000402e+00)
347           	(-4.597711e-04 3.377676e-02 1.000396e+00)
348           	(-3.551069e-04 3.365134e-02 1.000404e+00)
349           	(-2.682197e-04 3.350353e-02 1.000401e+00)
350           	(-1.516658e-04 3.350352e-02 1.000413e+00)
351           	(-2.536118e-05 3.344450e-02 1.000398e+00)
352           	(-9.251387e-05 3.332816e-02 1.000418e+00)
353           	(8.402211e-05 3.333998e-02 1.000399e+00)
354           	(8.396075e-05 3.329035e-02 1.000413e+00)
355           	(1.040052e-04 3.318475e-02 1.000404e+00)
356           	(1.743274e-04 3.320590e-02 1.000419e+00)
357           	(2.433212e-04 3.317074e-02 1.000398e+00)
358           	(1.141363e-04 3.307267e-02 1.000425e+00)
359           	(2.409372e-04 3.310926e-02 1.000405e+00)
360           	(1.921114e-04 3.308190e-02 1.000413e+00)
361           	(1.328590e-04 3.300690e-02 1.000394e+00)
362           	(1.627175e-04 3.306298e-02 1.000398e+00)
363           	(8.254215e-05 3.299580e-02 1.000380e+00)
364           	(9.074353e-05 3.305164e-02 1.000406e+00)
365           	(1.191277e-04 3.308525e-02 1.000387e+00)
366           	(-7.226522e-05 3.301801e-02 1.000403e+00)
367           	(2.573922e-05 3.312292e-02 1.000385e+00)
368           	(-7.992166e-05 3.314109e-02 1.000397e+00)
369           	(-1.855714e-04 3.312936e-02 1.000384e+00)
370           	(-1.567993e-04 3.316856e-02 1.000396e+00)
371           	(-9.583067e-05 3.322172e-02 1.000388e+00)
372           	(-2.496164e-04 3.316210e-02 1.000391e+00)
373           	(-1.814935e-04 3.329337e-02 1.000365e+00)
374           	(-3.255346e-04 3.333914e-02 1.000368e+00)
375           	(-4.642275e-04 3.334717e-02 1.000354e+00)
376           	(-5.334645e-04 3.345560e-02 1.000369e+00)
377           	(-5.333940e-04 3.352487e-02 1.000355e+00)
