# Region type : patch pressure_outlet
# Faces       : 6382
# Area        : 3.066803e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
434           	(3.551127e-01 -1.607029e-02 7.807057e-01)
435           	(3.551412e-01 -1.585737e-02 7.876462e-01)
436           	(3.485797e-01 -1.559010e-02 7.837092e-01)
437           	(3.480758e-01 -1.534852e-02 7.867192e-01)
438           	(3.491890e-01 -1.474295e-02 7.811425e-01)
439           	(3.523425e-01 -1.394847e-02 7.824603e-01)
440           	(3.523736e-01 -1.331699e-02 7.737778e-01)
441           	(3.531969e-01 -1.274731e-02 7.784489e-01)
442           	(3.588117e-01 -1.230387e-02 7.628613e-01)
443           	(3.625464e-01 -1.171876e-02 7.630274e-01)
444           	(3.632886e-01 -1.139008e-02 7.562814e-01)
445           	(3.658800e-01 -1.138777e-02 7.551753e-01)
